Temparature,Humidity ,Moisture,Soil Type,Crop Type
26,52,38,Sandy,Maize
29,52,45,Loamy,Sugarcane
34,65,62,Black,Cotton
32,62,34,Red,Tobacco
28,54,46,Clayey,Paddy
26,52,35,Sandy,Barley
25,50,64,Red,Cotton
33,64,50,Loamy,Wheat
30,60,42,Sandy,Millets
29,58,33,Black,Oil seeds
27,54,28,Clayey,Pulses
31,62,48,Sandy,Maize
25,50,65,Loamy,Cotton
32,62,41,Clayey,Paddy
26,52,31,Red,Ground Nuts
31,62,49,Black,Sugarcane
33,64,34,Clayey,Pulses
25,50,39,Sandy,Barley
28,54,65,Black,Cotton
29,58,52,Loamy,Wheat
30,60,44,Sandy,Millets
34,65,53,Loamy,Sugarcane
35,68,33,Red,Tobacco
28,54,37,Black,Millets
33,64,39,Clayey,Paddy
26,52,44,Sandy,Maize
30,60,63,Red,Cotton
32,62,30,Loamy,Sugarcane
37,70,32,Black,Oil seeds
26,52,36,Clayey,Pulses
29,58,40,Red,Ground Nuts
30,60,27,Loamy,Sugarcane
34,65,38,Clayey,Paddy
36,68,38,Sandy,Barley
26,52,48,Loamy,Wheat
28,54,35,Black,Millets
30,60,61,Loamy,Cotton
37,70,37,Clayey,Paddy
25,50,26,Red,Ground Nuts
29,58,34,Sandy,Millets
27,54,30,Clayey,Pulses
30,60,58,Loamy,Sugarcane
32,62,34,Red,Tobacco
34,65,60,Black,Sugarcane
35,67,42,Sandy,Barley
38,70,48,Loamy,Wheat
26,52,32,Black,Oil seeds
29,58,43,Clayey,Paddy
30,60,29,Red,Ground Nuts
33,64,51,Sandy,Maize
34,65,31,Red,Tobacco
36,68,33,Black,Oil seeds
28,54,38,Clayey,Pulses
30,60,47,Sandy,Barley
31,62,63,Red,Cotton
27,53,43,Black,Millets
34,65,54,Loamy,Wheat
29,58,37,Sandy,Millets
25,50,56,Loamy,Sugarcane
32,62,34,Red,Ground Nuts
28,54,41,Clayey,Paddy
30,60,49,Loamy,Wheat
34,65,64,Black,Cotton
28,54,47,Sandy,Barley
27,53,35,Black,Oil seeds
36,68,62,Red,Cotton
34,65,57,Black,Sugarcane
29,58,55,Loamy,Sugarcane
25,50,40,Clayey,Pulses
30,60,38,Sandy,Millets
26,52,39,Clayey,Pulses
31,62,32,Red,Tobacco
34,65,48,Loamy,Wheat
27,53,34,Black,Oil seeds
33,64,31,Red,Ground Nuts
29,58,42,Clayey,Paddy
30,60,47,Sandy,Maize
27,53,59,Loamy,Sugarcane
26,52,36,Clayey,Pulses
34,65,63,Red,Cotton
28,54,43,Clayey,Paddy
30,60,40,Sandy,Millets
29,58,65,Black,Cotton
26,52,59,Loamy,Sugarcane
31,62,44,Sandy,Barley
35,67,28,Clayey,Pulses
29,58,30,Red,Tobacco
27,53,30,Black,Millets
36,68,50,Loamy,Wheat
29,58,61,Loamy,Cotton
30,60,26,Black,Oil seeds
34,65,45,Clayey,Paddy
36,68,41,Red,Ground Nuts
28,54,25,Sandy,Maize
25,50,32,Clayey,Pulses
30,60,27,Red,Tobacco
38,72,51,Loamy,Wheat
36,60,43,Sandy,Millets
29,58,57,Black,Sugarcane
